ID2,TreatmentId,StartYear,EndYear
116,C4,1999,2015
117,C5,1999,2015
118,C6,1999,2015
119,C6,1999,2015
120,C6,1999,2015
121,C5,1999,2015
122,A1,1999,2015
123,A1,1999,2015
124,A2,1999,2015
125,A3,1999,2015
126,A4,1999,2015
127,A5,1999,2015
128,A5,1999,2015
129,A6,1999,2015
130,B1,1999,2015
131,B2,1999,2015
132,B2,1999,2015
133,B3,1999,2015
134,B4,1999,2015
135,B5,1999,2015
136,B6,1999,2015
137,B6,1999,2015
138,C1,1999,2015
139,C2,1999,2015
140,C2,1999,2015
141,C3,1999,2015
142,C4,1999,2015
143,C5,1999,2015
144,C5,1999,2015
145,C6,1999,2015
146,C6,1999,2015
147,C6,1999,2015
148,C5,1999,2015
149,A1,1999,2015
150,A2,1999,2015
151,A3,1999,2015
152,A4,1999,2015
153,A4,1999,2015
154,A5,1999,2015
155,A6,1999,2015
156,B1,1999,2015
157,B1,1999,2015
158,B2,1999,2015
159,B3,1999,2015
160,B4,1999,2015
161,B5,1999,2015
162,B6,1999,2015
163,B6,1999,2015
164,C1,1999,2015
165,C1,1999,2015
166,C2,1999,2015
167,C3,1999,2015
168,C4,1999,2015
169,C4,1999,2015
170,C5,1999,2015
171,C6,1999,2015
172,C6,1999,2015
173,C6,1999,2015
174,C5,1999,2015
175,A1,1999,2015
176,A1,1999,2015
177,A2,1999,2015
178,A3,1999,2015
179,A4,1999,2015
180,A5,1999,2015
181,A6,1999,2015
182,B1,1999,2015
183,B1,1999,2015
184,B2,1999,2015
185,B3,1999,2015
186,B4,1999,2015
187,B5,1999,2015
188,B5,1999,2015
189,B6,1999,2015
190,C1,1999,2015
191,C1,1999,2015
192,C2,1999,2015
193,C3,1999,2015
194,C4,1999,2015
195,C4,1999,2015
196,C5,1999,2015
197,C6,1999,2015
198,C6,1999,2015
199,C6,1999,2015
200,A1,1999,2015
201,A1,1999,2015
202,A2,1999,2015
203,A3,1999,2015
204,A4,1999,2015
205,A5,1999,2015
206,A6,1999,2015
207,A6,1999,2015
208,B1,1999,2015
209,B2,1999,2015
210,B3,1999,2015
211,B4,1999,2015
212,B4,1999,2015
213,B5,1999,2015
214,B6,1999,2015
215,B6,1999,2015
216,C1,1999,2015
217,C2,1999,2015
218,C3,1999,2015
219,C3,1999,2015
220,C4,1999,2015
221,C5,1999,2015
222,C5,1999,2015
223,C6,1999,2015
224,C6,1999,2015
225,A1,1999,2015
226,A2,1999,2015
227,A3,1999,2015
228,A3,1999,2015
229,A4,1999,2015
230,A5,1999,2015
231,A6,1999,2015
232,B1,1999,2015
233,B1,1999,2015
234,B2,1999,2015
235,B3,1999,2015
236,B4,1999,2015
237,B5,1999,2015
238,B5,1999,2015
239,B6,1999,2015
240,B6,1999,2015
241,C1,1999,2015
242,C2,1999,2015
243,C3,1999,2015
244,C3,1999,2015
245,C4,1999,2015
246,C5,1999,2015
247,C5,1999,2015
248,C6,1999,2015
249,A1,1999,2015
250,A2,1999,2015
251,A3,1999,2015
252,A4,1999,2015
253,A4,1999,2015
254,A5,1999,2015
255,A6,1999,2015
256,B1,1999,2015
257,B1,1999,2015
258,B3,1999,2015
259,B3,1999,2015
260,B4,1999,2015
261,B5,1999,2015
262,B5,1999,2015
263,B6,1999,2015
264,C1,1999,2015
265,C2,1999,2015
266,C2,1999,2015
267,C3,1999,2015
268,C4,1999,2015
269,C4,1999,2015
270,C5,1999,2015
271,C6,1999,2015
272,A1,1999,2015
273,A2,1999,2015
274,A3,1999,2015
275,A3,1999,2015
276,A4,1999,2015
277,A5,1999,2015
